frameNumber,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,occupiedHeights,predictedX,predictedY
0,256,224,220,216,0.4675925925925926,561.3879320039473,566.1054776510392
1,257,224,221,219,0.4675925925925926,241.0518264079347,258.3109584476082
2,260,224,221,223,0.4837962962962963,239.0,243.33333333333334
3,262,224,223,225,0.49074074074074076,274.2607909594079,243.5
4,265,223,225,225,0.4976851851851852,321.933889662794,243.6
5,269,223,227,225,0.5023148148148148,304.45383382884734,243.66666666666666
6,273,223,229,225,0.5023148148148148,243.28571428571428,244.28571428571428
7,276,223,233,225,0.5138888888888888,244.625,245.5
8,282,225,237,226,0.5138888888888888,246.22222222222223,246.88888888888889
9,288,227,242,227,0.5185185185185185,248.1,248.4
10,295,228,247,228,0.5347222222222222,251.4,250.8
11,302,228,254,227,0.5393518518518519,255.3,252.5
12,309,228,259,227,0.5439814814814815,262.8176534807038,254.5
13,315,228,264,227,0.5532407407407407,354.00717312332654,256.5
14,321,228,269,227,0.5532407407407407,464.40111855094597,222.84525117255527
15,327,228,273,227,0.5486111111111112,352.3399833855276,260.1
16,332,228,277,228,0.5625,471.3946848308773,240.12281279656918
17,336,229,282,231,0.5671296296296297,362.6643996860928,262.1
18,341,231,285,233,0.5972222222222222,294.7070692313459,262.4
19,345,231,289,234,0.6087962962962963,296.0,262.1
20,349,231,292,234,0.6134259259259259,329.7672212289476,249.12833375902244
21,354,230,296,234,0.6319444444444444,305.6,260.5
22,358,230,300,233,0.6273148148148148,402.68264892578014,239.1260780164933
23,362,230,303,233,0.6481481481481481,314.4,259.9
24,367,232,307,233,0.6759259259259259,318.6,261.8
25,373,234,311,234,0.6666666666666666,408.9968333557264,246.36063332885476
26,380,236,317,236,0.6805555555555556,327.2,265.9
27,387,237,323,237,0.6967592592592593,331.8,268.6
28,394,237,328,237,0.7060185185185185,336.6,271.4
29,402,236,333,237,0.7106481481481481,469.0155222065716,253.06407963223808
30,409,236,336,237,0.7222222222222222,346.8,277.5
31,414,236,341,236,0.7384259259259259,352.0,281.5
32,418,236,343,236,0.7430555555555556,357.1,285.1
33,422,237,346,236,0.7615740740740741,362.3,288.1
34,423,238,346,237,0.7754629629629629,367.0,289.7
35,423,240,346,240,0.7870370370370371,371.2,291.7
36,423,242,345,242,0.8055555555555556,374.8,293.8
37,424,243,344,244,0.8217592592592593,377.7,295.8
38,424,243,342,244,0.8518518518518519,378.79869461728146,307.0104430617482
39,424,244,341,245,0.8680555555555556,372.9697779879974,326.2906660360076
40,424,244,340,245,0.8819444444444444,362.5528840799407,403.03557960029616
41,425,245,340,245,0.9004629629629629,382.9,306.6
42,427,246,340,246,0.9120370370370371,383.2,309.7
43,429,248,340,247,0.9305555555555556,383.2,313.0
44,432,252,340,249,0.9444444444444444,383.4,316.5
45,437,256,340,252,0.9652777777777778,383.8,320.2
46,442,258,343,254,1.0185185185185186,384.6,324.6
47,446,258,344,255,1.0462962962962963,385.7,329.4
48,450,257,347,255,1.0625,387.2,334.0
49,455,257,349,255,1.0810185185185186,389.2,338.6
50,460,257,351,255,1.1041666666666667,391.5,343.2
51,464,259,351,256,1.1273148148148149,426.17999862632587,412.25999725265166
52,466,260,351,257,1.150462962962963,396.5,352.9
53,466,262,351,259,1.1759259259259258,398.9,212.42482519613603
54,466,266,351,262,1.1990740740740742,401.1,202.2253325606567
55,463,268,346,266,1.224537037037037,373.38899333621976,397.61100666378024
56,461,272,339,272,1.25,239.2388495136843,578.1264381078946
57,458,273,330,274,1.2847222222222223,283.742516279353,536.9433116275293
58,453,272,322,276,1.3032407407407407,274.3019417904734,500.2520537318708
59,448,274,315,278,1.3587962962962963,316.8919086609763,512.3621370085355
60,443,276,308,279,1.4050925925925926,146.55479131648312,748.3807123016489
61,440,277,304,280,1.4398148148148149,370.74075055892627,437.5654157351229
62,438,278,301,281,1.4490740740740742,290.84406560068726,503.85593439931273
63,438,281,299,282,1.4722222222222223,385.4331538783449,412.6010767299307
64,439,284,297,284,1.5185185185185186,374.74636861545076,522.2044707682388
65,439,290,296,287,1.5694444444444444,357.397175690563,671.633891713244
66,444,297,295,293,1.6203703703703705,375.0,430.5
67,453,302,295,296,1.6574074074074074,373.0,437.8
68,463,303,297,296,1.6921296296296295,372.3,445.4
69,472,305,298,298,1.7083333333333333,372.7,452.7
70,479,311,298,303,1.775462962962963,374.0,460.4
71,482,317,297,308,1.8287037037037037,375.7,468.7
72,482,322,291,311,1.8703703703703705,335.8897631430219,892.9023685697803
73,478,332,279,318,1.9375,262.8936460206504,718.9127079586992
74,472,342,262,324,2.0,378.3,498.4
75,440,352,233,336,2.0694444444444446,375.2,509.6
76,403,372,197,346,2.1435185185185186,368.3,522.0
77,341,368,172,349,1.4166666666666667,-58.37397608466449,-809.9825142713114
78,309,383,111,366,1.5902777777777777,-1349.4968608636134,-2073.1951866575405
