frameNumber,windowSize,XYError,timeToFuture,time,fps,currentCenterX,currentCenterY,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,angleOfApproach,XFrameSpeed,YFrameSpeed,occupiedHeights,predictedX,predictedY
0,4,10,1.5,1657504483.924174,0.0,574,197,586,134,562,130,5.843313007840796,512.8149929655242,176.00096448468338,0.7175925925925926,574.0,197.0
1,4,10,1.5,1657504484.0722456,0.8926085071725919,576,195,591,135,561,130,6.128747955799465,1.57804917370056,-1.57804917370056,0.7175925925925926,576.1694507037953,194.83054929620465
2,4,10,1.5,1657504484.2082288,6.753492835601241,576,195,592,135,561,131,5.987458439089949,0.0,0.0,0.7152777777777778,576.1129671358635,194.88703286413644
3,4,10,1.5,1657504484.3361788,7.3538480420089245,577,195,593,136,561,131,5.736660714004386,0.6530315344350301,0.0,0.7129629629629629,576.5439409633254,194.91527464810233
4,4,10,1.5,1657504484.4531324,7.815555816427875,587,197,602,136,572,131,5.563050194367865,6.677697031626085,1.2141267330229246,0.7152777777777778,580.1410735452197,195.33221971848187
5,4,10,1.5,1657504484.5499876,8.550398643125215,599,197,609,136,589,132,5.693664644280629,13.17954243680769,1.14604716841806,0.7175925925925926,586.0229608203083,195.6101830987349
6,4,10,1.5,1657504484.6588583,10.324694761717211,620,196,634,139,606,133,6.056675964873994,23.732493577866503,0.5393748540424206,0.7175925925925926,595.8324542957835,195.66587122748706
7,4,10,1.5,1657504484.7527158,9.185204002303799,625,192,633,139,618,133,6.891352540023546,53.844230201419826,-43.07538416113586,0.7337962962962963,607.7639803623426,188.57917104122546
8,4,10,1.5,1657504484.8505802,10.654446524600742,651,197,666,150,636,139,8.145643608869129,162.53842278628173,5.243174928589733,0.6967592592592593,620.3574849356582,189.51481870331153
9,4,10,1.5,1657504484.953555,10.218221417730277,654,180,673,152,635,143,9.363560503517727,115.76458134617023,-54.47745004525658,0.7106481481481481,641.053896052413,180.40702642812357
10,4,10,1.5,1657504485.053547,9.617889721023449,664,180,661,143,668,150,8.3369389563583,111.76282824196568,-40.64102845162388,0.75,657.8392994012668,175.87597066490406
11,4,10,1.5,1657504485.1664848,10.101644950747815,666,184,672,141,661,143,5.25003931226243,17.86665303549217,35.73330607098434,0.7615740740740741,666.6054092605076,175.00986080566312
